configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,scores,trace_id,parent_trace_id,root_trace_id,start_timestamp,organization_id,project_uuid,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,apply_eval_frac,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags,experiment_uuid,images
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}], 'functions': [], 'function_call': None}",{},2 + 2 equals 4.,,0.839668,65,8,73,0.00243,[],a3336743-bb70-4677-b23f-fada615a765f,34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.401211+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:53.240879+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}], 'functions': [], 'function_call': None}",{},NOT_ASKED_BEFORE,,0.647444,91,5,96,0.00303,[],a125bf16-a543-4719-b4bd-0c6214d560e7,34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:53.244730+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:53.892174+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}], 'functions': [], 'function_call': None}",{},"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.503387,117,25,142,0.00501,[],f6f0b772-ea3b-4888-bc09-e5a1b49de70e,34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:53.895371+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:55.398758+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,3.002513,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.3}, {'name': 'usefulness', 'score': 0.0}]",34b8d730-edc1-470f-ba66-bde21039775e,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:52.400014+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.",,1.0,,helpful_the_second_time,"['a3336743-bb70-4677-b23f-fada615a765f', 'a125bf16-a543-4719-b4bd-0c6214d560e7', 'f6f0b772-ea3b-4888-bc09-e5a1b49de70e']",2024-03-18T21:55:55.402527+00:00,,,,,[]
